10,29.5143150789
23,36.9985015276
1000,77.7129722602
19,35.1429161963
73,49.3412246196
62,47.5358249987
12,31.0147039864
19,35.1429161963
10039,108.407320091
67,48.3928139291
93,52.0155304781
17.65,34.4480875205
198.2,60.2376017059
2.1,19.4368305039
73.8,49.4617578964
358.9,66.5586798484
992.3,77.6255949137
52.78,45.7621539708
10,29.5143150789
23,36.9985015276
1000,77.7129722602
19,35.1429161963
73,49.3412246196
62,47.5358249987
12,31.0147039864
19,35.1429161963
10039,108.407320091
67,48.3928139291
93,52.0155304781
1.1,16.2918074559
1.2,16.6914339886
1.3,17.0649724129
1.4,17.4160941755
1.5,17.747731132
1.6,18.0622630573
1.7,18.361649052
1.8,18.6475218994
1.9,18.9212572687
2.0,19.184025424
11.1,30.3635426251
21.2,36.1976786985
31.3,40.1391710687
41.4,43.11460887
51.5,45.4926764996
61.6,47.4643581736
71.7,49.1425081072
81.8,50.599485127
91.9,51.884401243
100.0,52.814367231
1,15.8614065483
10,29.5143150789
100,52.814367231
1000,77.7129722602
10000,108.345365342
100000,153.82335761
1000000,224.581946047
